cod_estab,nombre,tipo,comuna,cod_comuna,region,servicio_salud,zona,inscritos_60,bajo_control_65,deteccion,ef_registro,deficit,score,prioridad,lat,lon
124439,Posta de Salud Rural Traiguén (Fresia),Posta de Salud Rural (PSR),Fresia,10104,Los Lagos,Servicio de Salud Del Reloncaví,rural,46,0,,-0.871,0.871,7.5,Baja,-41.210184,-73.710816
122462,Posta de Salud Rural Los Esteros,Posta de Salud Rural (PSR),La Unión,14201,Los Ríos,Servicio de Salud Los Rios,mixto,63,0,,-1.054,1.054,7.5,Baja,-40.21109,-72.79146
103309,Centro de Salud Familiar María Elena,Centro de Salud Familiar (CESFAM),Maria Elena,02302,Antofagasta,Servicio de Salud Antofagasta,mixto,12,0,,-1.694,1.694,7.4,Baja,-22.34109,-69.66425
116524,Posta de Salud Rural Fuerte Viejo,Posta de Salud Rural (PSR),Parral,07404,Maule,Servicio de Salud Del Maule,mixto,32,0,,-1.238,1.238,7.4,Baja,-36.16361,-72.02751
116527,Posta de Salud Rural San Ramón (Retiro),Posta de Salud Rural (PSR),Retiro,07405,Maule,Servicio de Salud Del Maule,rural,44,0,,-0.869,0.869,7.4,Baja,-36.00834,-71.84111
118403,Posta de Salud Rural Puerto Norte Isla Sta. María,Posta de Salud Rural (PSR),Coronel,08102,Biobío,Servicio de Salud Concepción,urbano,69,0,,-1.011,1.011,7.4,Baja,-36.97619,-73.52854
120409,Posta de Salud Rural Mesamávida (Los Ángeles),Posta de Salud Rural (PSR),Los Ángeles,08301,Biobío,Servicio de Salud Biobío,,166,0,,-0.844,0.844,7.4,Baja,-37.54707,-72.49231
124438,Posta de Salud Rural El Mirador,Posta de Salud Rural (PSR),Fresia,10104,Los Lagos,Servicio de Salud Del Reloncaví,rural,44,0,,-0.871,0.871,7.4,Baja,-41.08256,-73.50402
122430,Posta de Salud Rural Choroico (La Unión),Posta de Salud Rural (PSR),La Unión,14201,Los Ríos,Servicio de Salud Los Rios,mixto,58,0,,-1.054,1.054,7.4,Baja,-40.20602,-72.91423
115430,Posta de Salud Rural Patagua Orilla,Posta de Salud Rural (PSR),Pichidegua,06113,Libertador Gral. B. O'Higgins,Servicio de Salud Del Libertador B.O'Higgins,rural,102,0,,-0.708,0.708,7.3,Baja,-34.31275,-71.34112
117307,Centro de Salud Familiar Cobquecura,Centro de Salud Familiar (CESFAM),Cobquecura,16202,Ñuble,Servicio de Salud Ñuble,rural,1694,0,,-0.442,0.442,7.3,Baja,-36.13282,-72.79329
102407,Posta de Salud Rural Chiapa,Posta de Salud Rural (PSR),Huara,01404,Tarapacá,Servicio de Salud Tarapacá,rural,12,0,,-1.258,1.258,7.2,Baja,-19.53669,-69.20615
120430,Posta de Salud Rural Rucamanqui,Posta de Salud Rural (PSR),Tucapel,08312,Biobío,Servicio de Salud Biobío,mixto,52,0,,-1.062,1.062,7.2,Baja,-37.205425,-71.903405
118436,Posta de Salud Rural Torre Dorada,Posta de Salud Rural (PSR),Santa Juana,08109,Biobío,Servicio de Salud Concepción,mixto,83,0,,-0.931,0.931,7.1,Baja,-37.284302,-72.80869
118437,Posta de Salud Rural Purgatorio,Posta de Salud Rural (PSR),Santa Juana,08109,Biobío,Servicio de Salud Concepción,mixto,87,0,,-0.931,0.931,7.1,Baja,-37.309294,-72.987844
124436,Posta de Salud Rural Cau Cua,Posta de Salud Rural (PSR),Fresia,10104,Los Lagos,Servicio de Salud Del Reloncaví,rural,38,0,,-0.871,0.871,7.1,Baja,-41.11514,-73.56183
126700,Centro Comunitario de Salud Familiar Dr. Mateo Bencur,Centro Comunitario de Salud Familiar (CECOSF),Punta Arenas,12101,Magallanes y de la Antártica Chilena,Servicio de Salud Magallanes,urbano,4,0,,-2.555,2.555,7.1,Baja,-53.12652,-70.91809
124406,Posta de Salud Rural Maillén,Posta de Salud Rural (PSR),Puerto Montt,10101,Los Lagos,Servicio de Salud Del Reloncaví,,303,1,,-0.718,0.718,7,Baja,-41.583222,-73.000013
123406,Posta de Salud Rural Puyehue,Posta de Salud Rural (PSR),Puyehue,10304,Los Lagos,Servicio de Salud Osorno,rural,3,0,,-2.269,2.269,7,Baja,-40.696344,-72.335555
114409,Posta de Salud Rural Las Perdices,Posta de Salud Rural (PSR),La Florida,13110,Metropolitana de Santiago,Servicio de Salud Metropolitano Sur Oriente,,1,0,,-5.862,5.862,7,Baja,-33.51736,-70.5445
109304,Centro de Salud Familiar Valdivieso,Centro de Salud Familiar (CESFAM),Recoleta,13127,Metropolitana de Santiago,Servicio de Salud Metropolitano Norte,,2599,49,0.269334359368988,-0.517,0.517,7,Baja,-33.41032,-70.63122
121472,Posta de Salud Rural Colonia Lautaro,Posta de Salud Rural (PSR),Lautaro,09108,La Araucanía,Servicio de Salud Araucanía Sur,mixto,91,0,,-0.891,0.891,6.9,Baja,-38.55142,-72.58358
