serie,bloque,codigo,descripcion,tipo,nivel_atencion,establecimientos,periodos_esperados,periodos_observados,intensidad_media,volumen,subregistro_pct
A,pnd_evaluaciones,06906135,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,Centro Comunitario de Salud Mental  (COSAM),Secundario,1,12,11,7.3,80,8.3
A,pnd_evaluaciones,06906140,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,Centro de Salud Familiar (CESFAM),Primario,36,432,191,9.2,1766,55.8
A,pnd_evaluaciones,06906140,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,Posta de Salud Rural (PSR),Primario,10,120,14,2.1,30,88.3
A,pnd_evaluaciones,06906140,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,Centro Comunitario de Salud Familiar (CECOSF),Primario,9,108,29,2.4,71,73.1
A,pnd_evaluaciones,06906140,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,Hospital,"",6,72,23,4.3,98,68.1
A,pnd_evaluaciones,06906140,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,4,48,36,4.9,175,25
A,pnd_evaluaciones,06906140,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,Hospital,Terciario,1,12,10,3.5,35,16.7
A,pnd_evaluaciones,06906140,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,Hospital,Primario,1,12,1,3,3,91.7
A,pnd_evaluaciones,06906140,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,Centro Comunitario de Salud Mental  (COSAM),Secundario,1,12,11,6.5,71,8.3
A,pnd_evaluaciones,06906145,Cuidadores de Personas con Demencia - Evaluacion Satisfaccion usuaria,Centro de Salud Familiar (CESFAM),Primario,12,144,50,11.9,594,65.3
A,pnd_evaluaciones,06906145,Cuidadores de Personas con Demencia - Evaluacion Satisfaccion usuaria,Centro Comunitario de Salud Familiar (CECOSF),Primario,5,60,18,3.7,66,70
A,pnd_evaluaciones,06906145,Cuidadores de Personas con Demencia - Evaluacion Satisfaccion usuaria,Posta de Salud Rural (PSR),Primario,2,24,3,1.3,4,87.5
A,pnd_evaluaciones,06906145,Cuidadores de Personas con Demencia - Evaluacion Satisfaccion usuaria,Hospital,Terciario,1,12,10,3.5,35,16.7
A,pnd_evaluaciones,06906145,Cuidadores de Personas con Demencia - Evaluacion Satisfaccion usuaria,Hospital,"",1,12,3,16.7,50,75
A,pnd_evaluaciones,06906145,Cuidadores de Personas con Demencia - Evaluacion Satisfaccion usuaria,Centro de Apoyo Comunitario para Personas con Demencia,Secundario,1,12,12,4.8,58,0
A,rehabilitacion,28020840,Cuidadores,Centro de Salud Familiar (CESFAM),Primario,85,1020,198,4.1,238,80.6
A,rehabilitacion,28020840,Cuidadores,Posta de Salud Rural (PSR),Primario,18,216,32,,0,85.2
A,rehabilitacion,28020840,Cuidadores,Hospital,"",9,108,11,2,2,89.8
A,rehabilitacion,28020840,Cuidadores,Hospital,Primario,3,36,4,1,2,88.9
A,rehabilitacion,28020840,Cuidadores,Centro Comunitario de Salud Familiar (CECOSF),Primario,3,36,6,,0,83.3
A,rehabilitacion,28020840,Cuidadores,Otro,No Aplica,1,12,1,,0,91.7
A,rehabilitacion,28020840,Cuidadores,Consultorio General Rural (CGR),Primario,1,12,2,,0,83.3
A,rehabilitacion,28020840,Cuidadores,Centro de Referencia de Salud (CRS),Secundario,1,12,1,,0,91.7
A,rehabilitacion,28020840,Cuidadores,Centro de Especialidades de Atención Primaria (CEAP),Primario,1,12,1,,0,91.7
A,rehabilitacion,28020900,Cuidadores (2),Centro de Salud Familiar (CESFAM),Primario,110,1320,339,3.9,243,74.3
A,rehabilitacion,28020900,Cuidadores (2),Posta de Salud Rural (PSR),Primario,14,168,33,,0,80.4
A,rehabilitacion,28020900,Cuidadores (2),Hospital,Primario,7,84,23,4.6,32,72.6
A,rehabilitacion,28020900,Cuidadores (2),Centro Comunitario de Salud Familiar (CECOSF),Primario,6,72,9,2,2,87.5
A,rehabilitacion,28020900,Cuidadores (2),Hospital,"",6,72,8,,0,88.9
A,rehabilitacion,28020900,Cuidadores (2),Consultorio General Rural (CGR),Primario,2,24,4,3,3,83.3
A,rehabilitacion,28020900,Cuidadores (2),Centro de Referencia de Salud (CRS),Secundario,1,12,3,10,20,75
A,rehabilitacion,28020900,Cuidadores (2),Centro de Especialidades de Atención Primaria (CEAP),Primario,1,12,3,,0,75
